Deyimler;Türkçe Anlamı
Kol kanat olmak;Yardım etmek, gözetmek, bir kimseyi koruyuculuğu altına almak
Koltukları kabarmak;Kendisine ya da yakınlarına yapılan övgüden ötürü kıvanç duyup büyüklenmek, böbürlenmek
Kolu kanadı kırılmak;Çaresiz duruma düşmek, bir şey yapamaz hale gelmek
Korktuğu başına gelmek;Endişe duyduğu, kaygılandığı, olmasını istemediği şeyle karşı karşıya gelmek
Koyun kaval dinler gibi;Düşünmeden, hiçbir şeyi anlamadan, ne denildiğini kavramadan dinlemek
Kozunu paylaşmak;Aradaki anlaşmazlığı zora başvurarak, üstün olan güce dayandırarak çözümlemek, sona erdirmek
Kök salmak;Bir yere iyice, ayrılmamacasına yerleşmek
Kök söktürmek;Uğraştırmak, güçlük çıkarmak, engel olmak
Kör dövüşü;Sonuç alınamayacak ve birbirini engelleyecek biçimde, bir birinden habersiz düzensiz ve uyumsuz çabalama
Köstek olmak;Engel olmak
Körü körüne;Düşünüp taşınmadan, nasıl sonuçlanacağını hesaplamadan, dikkat etmeden
Kraldan çok kralcı olmak;Birinin davasını ondan daha çok savunur olmak
Kucak açmak;İhtiyaç sahibi birine sığınacak yer vermek, onu korumak
Kukumav kuşu gibi;Yapayalnız, tek başına
Kulağı delik;Olup bitenleri çabuk haber alan, hemen her şeyden haberi olan
Kulağı kirişte (olmak);Söylenecek sözü, gelecek haberi dikkatlice (beklemek)
Kulağına çalınmak;Bir söz, bir haber başkasına söylenirken kendisi de şöyle böyle duymak
Kulağına kar suyu kaçmak;Rahatını bozan bir haber işitmek, sıkışık bir duruma düşmek
Kulağına küpe olmak;Başına gelen bir işten, gördüğü olaydan ders alıp hiç unutmamak
Kulağını açmak;Bütün dikkatini vererek dinlemek, söylenenlere dikkat etmek
Kulak asmamak;Aldırıp önemsememek, dinlememek
Kulak dolgunluğu;Duya duya elde edinilen yarı buçuk bilgi
Kulak kabartmak;Çaktırmadan, belli etmemeye çalışarak dinlemek
Kulak kesilmek;"Çok iyi, bütün dikkatini vererek dinlemek; dikkatini toplayarak duymaya çalışmak"
Kulaklarını çınlatmak;Birini iyi duygularla anmak
Kul köle (veya kurban) olmak;Tam bir doğruluk içinde gönülden bağlanmak, bağlılığın gerektirdiği fedakarlığı yapmaya hazır olmak
Kulp takmak;Bir kusur, bir bahane bulmak
Kumpas kurmak;Birini aldatmak için tuzak kurmak, gizli bir iş düzenlemek
Kurtlarını dökmek;Öteden beri yapmak istediği şeyi bol bol yapıp hevesini almak
Kurt masalı okumak;İnandırıcı, gereksiz, asılsız sözler (söylemek)
Kuru iftira; Hiçbir kanıtı olmayan suçlama
Kuş beyinli;Akılsız, aptal, ahmak
Kuş kadar canı olmak;Küçük, cılız, zayıf, çelimsiz bir vücuda sahip olmak
Kuş sütüyle beslemek;En pahalı, değerli az bulunur besinlerle yiyip içirmek
Kuş uçmaz, kervan geçmez;Çok ıssız, sapa, kır, insanın uğramadığı yer
Kuş uçurmamak;"Hiç kimsenin geçmesine, kaçmasına izin vermemek; imkân tanımamak, bunun için çok dikkatli davranmak"
Kuvvetten düşmek (kesilmek);Gücü iyice azalmak
Kuyruğuna basmak;Birini tahrik etmek, incitip saldırmasına yol açmak
Kuyruk sallamak;birisine yaranmak için yapmacık davranışlarda bulunup şirin görünmeye çalışmak
Kuyusunu kazmak;Birinin kötü duruma düşmesi, felakete uğraması, zarar görmesini sağlamak için zemin hazırlamak, tuzak kurmak
Küçük dilini yutmak;Çok şaşmak, hayrete düşmek, donakalmak, hiçbir şey söyleyemez hale gelmek
Küçük düşürmek;Onurunu kırmak, birilerinin yanında itibarını sarsmak ve değerini düşürmek
Küçük görmek;Önemsememek, değer vermemek
Külahını ters giydirmek;"Çok kurnaz olmak; oyuna getirmek"
Külahları değişmek;Araları bozulmak, bozuşmak
Kül kesilmek;Heyecan ve korkudan yüzünün rengi atmak, solmak
Külünü (göğe) savurmak:;Bir şeyi tamamiyle bitirip yok etmek, harcayıp tüketmek, telef edip bir şey bırakmamak
Kül yutmamak;Oyuna gelmemek, tuzağa düşmemek, kurnazca yapılan bir hileye aldanmamak
Künyesi bozuk;Eskiden kötü durumları görülmüş olan, kötü işlere girmiş bulunan
Küplere binmek;Haddinden fazla öfkelenme, kızmak, sağa sola ateş saçmak
Lafa boğmak;Birinin söz söylemesine fırsat vermeyip meseleyi gereksiz ve boş sözlerle anlaşılmaz kılmak, gürültüye getirip uzatmak
Laf (söz) altında kalmamak;Bir münakaşa sırasında söylenen her dokunaklı söze karşılık vermek, söz altında ezilmemek
Laf atmak;Dokunaklı sözlerle sataşmak, uzaktan işittirmek
Lafa tutmak;Birini konuşarak, gereksiz meseleler anlatarak işinden alıkoymak
Lafı (sözü) ağzına tıkamak;Birinin sözünü bitirmesine fırsat vermemek, onu susmak zorunda bırakmak, konuşmasını önlemek
Lafı (sözü) ağzında gevelemek;Söylemek istediğini açık olarak bir türlü söyleyememek, şundan bundan bahsetmek
Lafı ağzında kalmak;Söyleyeceğini söylemeye zaman bulamamak, konuşmasını bitirememek
Lafı (sözü) çevirmek;Konuşmasının sakıncalı bir biçim aldığını fark edince söze başka bir yön vermek, başka konuya geçmek
Lafını (sözünü) bilmek;Tutarlı ve mantıklı konuşmak, sakıncalı olmayan ve birini kırmayan sözler söylemek, saygılı ve yerinde konuşmak
Laf işitmek;Birisi tarafından paylanmak, azarlanmak
Laf (söz) taşımak;Aralarını açmak maksadıyla birinin bir kimse hakkında söylediği hoş olmayan sözlerini o kimseye ulaştırmak, söz getirip götürmek
Laf (söz) yetiştirmek;Bir söze karşılık vermekte gecikmemek, durmadan konuşmak
Lamı cimi yok;Hiçbir bahane, itiraz, mazeret, duraksama, karşı gelme yok
Leb demeden leblebiyi anlamak;Daha sözün başında ne demek istediğini anlamak, anlayışlı ve kavrayışlı olmak
Leke sürmek;Suç yüklemek, birinin onurunu sarsacak biçimde iftirada bulunmak
Leyleğin yuvadan attığı yavru;Yakınlarından ilgi görmeyen, çevresinin uzaklaştırdığı kimse
Lokma ağzında büyümek;Herhangi bir sebepten, acı ya da üzüntüden dolayı lokmasını yutamamak, yiyememek
Madalyanın ters (öteki) yüzü;Olumlu bir olay, iş ya da durumun düşünülmesi, hesaba katılması gereken olumsuz yönü
Mahşer midillisi;Kısa boylu, fitneci kimse
Mahşer gibi;Çok kalabalık
Mal bulmuş mağribi gibi;Büyük bir zenginliğe kavuşmuşcasına büyük sevinç ve coşku ile
Mantar gibi yerden bitmek;Birdenbire ya da kendiliğinden ortaya çıkmak
Maraza çıkarmak;Anlaşmazlığa yol açacak işler yapmak, kavgaya yol açmak
Masal okumak;İnandırıcı olmayan, oyalayıcı ve avutucu sözler söylemek
Maskara olmak;Gülünç hallere düşmek, alay konusu olmak
Maskesi düşmek;Gerçek yüzü, kimliği, niteliği ortaya çıkmak
Masrafa girmek;Çok para harcamak
Maşallahı var;Bir şey ya da kimsenin iyi durumda olması
Matrak geçmek;Alay etmek, karşısındakiyle eğlenmek, dalga geçmek
Maval okumak;Tutarlı, inandırıcı olmayan, yalan sözler söylemek
Mayası bozuk;Karaktersiz, kötü yaradılışlı, aşağılık (kişi)
Maymun iştahlı;"Kararsız, hevesi çabuk geçen; bugün şunu yarın ötekini beğenen"
Mekik dokumak;İki yer arasında durmadan gidip gelmek
Mendil açmak;Dilenmek
Merhabası olmak;Birisiyle selamlaşacak kadar tanışıklığı, yakınlığı bulunmak
Merhabayı kesmek;Biriyle ilgiyi kesmek, arkadaşlığa son vermek
Mesken tutmak;Yerleşmek
Meteliğe kurşun atmak;Parasız pulsuz kalmak, hiç parası olmamak
Metelik vermemek;Değer vermemek, umursamamak, aldırış etmemek
Meydanı boş bulmak;Kendisine mani olacak kimse bulunmadığı için aşırı davranışlarda bulunmak, bir şeyden çekinmemek
Meydan okumak;Kavga ya da yarışmaya çağırmak, korkmadığını ve çekinmediğini açıkça bildirmek
Mezhebi geniş;Namus konusunda gerekli olan titizliği göstermeyen, kadın-erkek ilişkilerinde dini kaidelere aldırış etmeyen, geniş davranan
Mezar kaçkını;Çok zayıf, bitkin, güçsüz düşmüş kişi
Mırın kırın etmek;Bir isteği yerine getirmemek için çeşitli bahaneler ileri sürüp nazlanmak
Mızıkçılık etmek;Bir oyunu ya da birlikte yapılan bir işi çeşitli bahaneler ileri sürerek bozmaya çalışmak, razı olmamak
Muhallebi çocuğu;Nazlı, el bebek gül bebek büyütülmüş, dayanıksız, narin kimse
Mumla aramak;Çok istek ve özlemle aramak
Muradına ermek;Dileği gerçekleşmek, çok istediği şeye kavuşmak
Mürekkebi kurumadan bozmak;Bir kararı, sözleşmeyi, anlaşmayı yazılmasından kısa bir süre sonra bozmak
Mürekkep yalamış;Az çok öğrenim görmüş, okuyup yazmış, belli bir kültüre sahip olmuş kimse
Nabza göre şerbet vermek;Birinin hoşuna gidecek, eğilimlerine cevap verecek biçimde davranmak
Nalıncı keseri gibi kendine yontmak;Hemen her işte kendi çıkarını düşünerek hareket etmek
Nane molla;Dirençsiz, güçsüz kimse
Naza çekmek;Kendini ağır satmak, bir isteği yerine getirmekte yapmacıklı davranışlarla isteksiz gibi davranmak
Nazı geçmek;İstediklerini yaptıracak kadar hatırı sayılır olmak
Nefes aldırmamak;Dinlenmesine fırsat vermemek, sıkıştırmak, rahat bırakmamak
Nefes tüketmek;Bir şeyi anlatmaktan çok yorulmak
Nefsine yedirememek;Kendine yakıştıramamak, o şeyi yapmayı kendisi için onur kırıcı, ağır bulmak
Ne şiş yansın ne kebap;İki taraf da korunsun, gücendirilmesin, ikisinin de zarar görmeyeceği bir yol bulunsun
Ne tadı var ne tuzu;Hoşa gidecek, zevk alınacak, beğenilecek bir şey değil
Nevri dönmek;Çok öfkelenmek, sinirlenip kızmak ve bu sebeple rengi değişmek
Ne yardan geçer ne serden;İstediği şey fedakârlığı gerektirdiği hâlde, fedakârlığa yanaşmayan ama istediğinden de vazgeçmeyen
Ne yer ne yedirir;Kimsenin yararlanmasını istemez, kendi de yararlanmaz
Nuh der peygamber demez;Son derece inatçıdır, düşüncelerini bir türlü değiştirmez, söylediklerinde ve inançlarında direnir
Nuh Nebi’den kalma;Çok eski modası geçmiş
Numara yapmak;yalandan yapmak, bir şeyi gerçekmiş gibi söyleyerek karşısındakini aldatmak
Nutku tutulmak;Korkudan, üzüntüden, heyecandan konuşamaz olmak
Ocağına düşmek;Birine yardım etmesi için yalvarmak, koruması için sığınmak
Ocağına incir dikmek;Birinin evini barkını dağıtmak, düzenini alt üst etmek, yuvasını yıkıp toparlanamaz hâle getirmek
Ocağını söndürmek;Ailenin dağılmasına sebep olmak, çoluk çocuğunu yok etmek
Ok yaydan çıkmak;Geri dönülemeyecek bir iş yapmak, söz söylemek ya da bir harekette bulunmak
Oldu bittiye getirmek;aceleyle yaptırmak, geri dönülmesi güç ve imkânsız bir durum oluşturmak
Oldu olacak kırıldı nacak;Olanlar oldu, iş işten geçti, olanlar geri dönülemeyecek bir durum aldı, bunu kabul etmek gerek
Olmayacak duaya amin demek;Sonuç vermeyecek bir işle uğraşmak ya da buna destek vermek
Oluruna bırakmak;Bir işin yapılabildiği, olabildiği kadarıyla yetinmek, müdahale etmeden bekleyip sonucuna ne olursa olsun razı olmak
Omuz silkmek;Aldırmamak, önem vermemek, benimsememek
On parmağında on marifet;Çok hünerli, becerikli, ustalığı çok, elinden her iş gelir
Onuruna dokunmak;Onurunu, haysiyetini incitmek
Oralı olmamak;Anlamamış, sezmemiş gibi davranmak
Ortada kalmak;Yersiz yurtsuz kalmak, barınacak yer bulamamak
Ortalığı birbirine katmak;Kargaşa çıkarmak, herkesi birbirine düşürmek
Orta malı;Herkesin yararlandığı
Ortaya dökmek;Gizli olan ne varsa açıklamak
O tarakta bezi olmamak;Bir şeyle, bir işle ilişiği bulunmamak, o şeyle ilgilenmemek
Oyuna gelmek;Aldatılmak, tuzağa düşürülmek
Oyunbozanlık etmek; Mızıkçılık etmek, birlikte yapılması gereken işten tek taraflı vazgeçmek
Oyun etmek;Aldatmak, kurnazlıkla birini tuzağa düşürmek
Öç almak;Yapılan bir kötülüğün acısını aynı derecede bir kötülük yaparak çıkarmak
Ödü patlamak;Ani bir olay sebebiyle çok korkmak
Öküzün altında buzağı aramak;Kimi sebepler, bahaneler uydurarak suç ve suçlu bulma çabasında olmak
Öküz öldü, ortaklık bozuldu;Aradaki yakınlık dayanağı kalktı, yakınlık da kalmadı
Ölçüyü kaçırmak;Uygun derecenin üstüne çıkmak, aşırı gitmek
Ölme eşeğim ölme (yaza yonca bitecek);Umutsuz bir bekleyiş
Ölü fiyatına;Yok pahasına, değerinden çok ucuza, az bir para ile
Ölümüne susamak;Yapmakta olduğu tehlikeli işte ölümü kendi üzerine çekecek davranışta bulunmak
Ölüp ölüp dirilmek;Ard arda gelen sıkıntılı, acı veren durumlara düşmek
Ömür çürütmek;Uzun süre bir şey için emek vermiş olmak, ya da boşuna zaman harcamış olmak
Ömür törpüsü;İnsanı yıpratan, yoran, sıkıntıya sokan, uzun ve yorucu iş
Ön ayak olmak;Bir işin yapılmasında ilk başlayan olup herkesi arkasından sürüklemek
Öpüp başına koymak;Bir şeyi minnetle karşılamak, seve seve kabul etmek
Örtbas etmek;Kötü bir durumu gizlemek, yayılmasını önlemek
Örümcek kafalı;Geri düşünceli, yenilikleri kolay kabul etmeyen
Özenip bezenmek;Çok özen gösterip titizlikle, ayrıntılarına varıncaya değin ele almak
Özü sözü bir;Düşünceleri, söyledikleri ve yaptıkları bir olan, ne düşünüyorsa onu söyleyen, içi dışı bir olan kimse
Pabucu dama atılmak;Kendisinden üstün birinin çıkmasıyla gözden düşmek, değer ve itibarını kaybetmek
Pabucunu ters giydirmek;Güç bir duruma düşürerek telaşlandırmak, bu telaşla kaçmasına sebep olmak
Pabuç bırakmamak;Yılmamak, korkmayıp yapacağından vazgeçmemek
Paçaları sıvamak;Bir işi yapmak için hazırlanmak
Paçayı kaptırmak;Yakalanmak, ele geçmek
Paçavrasını çıkarmak;Çok hırpalamak, sağlam yerini koymamak, işe yaramaz bir duruma getirmek
Paçayı kurtarmak;Bir ilişkiden veya önce girişip sonra pişman olduğu bir işten yakasını sıyırmak
Palas pandıras;Acele olarak, hazırlanmaya zaman bulamadan
Palavra atmak;Abartarak söylemek, yalan söylemek, olmayacak şeylerden söz etmek
Paldır küldür;Büyük bir gürültü ile
Pamuk ipliği ile bağlamak;Etkisi az sürecek, köksüz, geçici bir çözüm yolu bulmak
Papara yemek;Çok azarlanmak
Para babası;Çok zengin, parası bol olan
Para canlısı;Parayı çok seven, paraya düşkün
Parasını sokağa atmak;Değeri olmayan bir işe ya da mala para vermek
Paraya kıymak;Gereken yerde para harcamaktan kaçınmamak
Paraya para dememek;Çok para kazanmak, Bol para harcamak
Parmağı ağzında kalmak;Çok şaşırmak, hayrete düşmek
Parmağına dolamak;Bir konuyu her fırsatta, her yerde ele alıp konuşmak, o konu ile uğraşmak
Parmağında oynatmak;Birine her istediğini yaptırmak, onu kukla gibi kullanmak
Parmağını bile oynatmamak;Hiç tepki göstermemek, kayıtsız kalmak
Parmak basmak;Bir nokta üzerine dikkati ya da ilgiyi çekmek
Parmak ısırmak;Büyük şaşkınlık duymak, hayrete düşmek
Parmakla gösterilmek;Seçkin, ünlü olmak
Parmaklarını yemek;Bir yemeğin çok lezzetli olması
Patırtı çıkarmak;Kavga, kargaşa, gürültü çıkarmak
Patlak vermek;Gizlenen ya da hoş karşılanmayan bir durum aniden ortaya çıkmak
Pay biçmek;Bir fikir elde edebilmek için, durumu bir şey ile kıyaslamak
Payidar olmak;Kalmak, yok olmamak, yaşamak
Pay çıkarmak;Bir olay ya da davranıştan tecrübe kazanmak, hisse kapmak, tutulacak yolu belirlemek
Pestilini çıkarmak;Çok çalıştırıp adamakıllı yormak
Peyda olmak;Ortaya çıkmak, belirmek, oluşmak
Pılıyı pırtıyı toplamak;Hemen bütün eşyalarını toplayarak bir yere gitmek üzere hazırlık yapmak
Pire için yorgan yakmak;Önemsiz bir şey için kızıp daha büyük zarara yol açacak davranış içine girmek
Pireyi deve yapmak;Küçük, basit bir olayı büyütüp mesele yapmak, aşırı abartmak
Pişmiş aşa su katmak;Yoluna girmiş, bitmek üzere olan bir işi bozmak ya da aksatmak
Pişmiş kelle gibi sırıtmak;Anlamsız, çirkin, yersiz, dişlerini göstererek gülmek
Posta koymak;Birini korkutmak, gözdağı vermek, tehdit etmek
Postayı kesmek;İlişkiyi kesmek, gidip gelişi sona erdirmek
Post kavgası;Bir makamı, işi ya da iktidarı ele geçirme çekişmesi
Postu kurtarmak;Can tehlikesini atlatmak, öldürülme tehlikesi olan yerden kaçıp kurtulmak
Postu sermek;Kısa bir süre için gittiği yerde, saygısızca ve sorumsuzca uzun süre kalmak
Pot kırmak;Gaf yapmak, farkında olmayarak karşısındakini kıracak, incitecek söz söylemek
Pupa yelken;Alabildiğince, hiçbir şeye bağımlı olmadan
Pusulayı şaşırmak;Ne yapacağını bilemez duruma düşmek
Put gibi;Kımıltısız, sessiz, anlamsız bir bakışla
Put kesilmek;Sessiz, kımıltısız bir durumda kalmak
Püsküllü belâ;Kendisinden kurtulunması bir türlü mümkün olmayan, büyük sıkıntı, zarar veren kimse veya şey
Rafa kaldırmak;Bir iş üzerinde artık durmamak, o işi kenara itmek, ihmal etmek
Rahatına bakmak;Hiçbir şeye aldırış etmeden rahatını sağlamaya çalışmak
Rahatlık batmak;Rahat, iyi bir yerdeyken o yeri olmayacak nedenlerden ötürü terk eden insanlar
Rahat yüzü görmemek;"Huzur, bolluk, hiç rahatlık görmemek; sürekli sıkıntı, darlık içinde bulunmak"
Rast gitmek;Bir iş istenilen biçimde gelişmek
Rayına oturmak;Bozulmuş, düzensiz hâle gelmiş bir işi yoluna koymak, iyi duruma getirmek
Rengi atmak;Korku, heyecan sebebiyle benzi sararmak
Renkten renge girmek;Heyecan, korku ve utanmadan dolayı yüzünün rengi değişmek, sıkılmak
Renk vermemek;"Bir konu ile ilgili duygularını, düşüncelerini belli etmemek; bildiği halde bilmez gibi görünmek"
Rest çekmek;Kesin tavır almak, herhangi bir konuda son sözü söylemek
Ruhu bile duymamak;"Anlamamak; hiçbir bilgisi, haberi bulunmamak; olan biteni sezememek"
Ruhunu teslim etmek;Ölmek
Rüyasında bile görememek;Olacağını hiç aklına getirmemek, ihtimal vermemek
Rüzgar gelecek delikleri tıkamak;İstenmeyen bir duruma veya zarar gelebilecek bir gelişmeye karşı her türlü önlemi almak
Saati saatine uymamak;Bir kimsenin durumu, huyu sık sık değişir olmak
Sabaha çıkamamak;Sabahtan önce ölmek, sabaha kadar yaşayamamak
Sabahı etmek;Sabahlamak, bir sebeple sabaha kadar uyumamak
Sabahın köründe;Çok erken, ortalık henüz ağarmadan, sabahın en erken vaktinde
Sabır taşı;Çok sabırlı kimse, türlü sıkıntılara katlanan
Sabrı taşmak;"Katlanamaz, dayanamaz, sabredemez olmak; tahammül gücü kalmamak"
Saç ağartmak;Bir işte uzun zaman çalışıp emek vermiş olmak
Saçına ak düşmek;Yaşlanmak, ihtiyarlamaya başlamak
Saçını süpürge etmek;Çok büyük istekle çalışıp hizmet etmek, özveri ile birileri uğrana çalışmak
Saç saça baş başa;kıyasıya kavgaya tutuşmak, birbirlerini hırpalayarak kapışıp dövüşmek
Saç sakal birbirlerine kırışmak;Üstü başı perişan, uzun süre saç ve sakal tıraşı olmamış, kendine çeki düzen vermemiş olmak
Sağ gözünü sol gözünden sakınmak;Çok kıskanmak, üzerine titremek
Sağır sultan bile duydu; İşitmedik kimse kalmadı, hemen herkes işitti
Sağı solu (belli) olmamak;Bir durum karşısında nasıl davranacağı, ne tavır takınacağı belli olmamak
Sağlam kazığa bağlamak;Bir işin aksamadan yürümesini sağlayacak önlemleri alarak güvenilir bir duruma koymak
Sağlam pabuç değil;"Doğruluğuna, namusluluğuna güvenilmez; kişiliği kuşku veren"
Sakalı ele vermek;Başkasının sözünden çıkmayacak bir duruma düşmek, birinin idaresine girmek
Sakız gibi yapışmak;Peşini bırakmamak, ayrılmamak, istediğini yaptırmaya çalışmak
Salkım saçak;Dağınık, düzensiz bir durumda
Sallantıda kalmak;Bir çözüme bağlanamamak, nasıl olacağı bilinmeden öylece kalmak
Saltanat sürmek;Bolluk, verimlilik içinde yaşamak
Saman altından su yürütmek;Hiç kimseye sezdirmeden iş çevirmek, ortalığı birbirine karıştırmak
Sarı çizmeli Mehmet Ağa;Kim olduğu, nerede oturduğu bilinmeyen kimse
Sarpa sarmak;"Bir iş, çözülmesi çok güç bir durum almak; zorluklar belirmek"
Satıp savmak;Eldeki malı veya eşyaları yok pahasına satmak, ucuza satıp tüketmek
Sayıp dökmek;Ne var ne yok hepsini söylemek, arka arkaya sıralamak
Sebil etmek;Bolca vermek, dağıtmak
Sedyelik olmak;Ayakta duramayacak hâle gelmek
Seferber olmak;Bir işe eldeki tüm imkânları kullanarak girişmek
Selamı sabahı kesmek;"Dostluğu, arkadaşlığı, ahbaplığı kesmek, her türlü ilişkiye son vermek; selamına bile karşılık vermemek"
Selâm verip borçlu çıkmak;Küçük bir ilgi göstermek karşılığında hemen kendisine bir iş yüklenilmek
Sen giderken ben geliyordum;Ben bu oyunları senden daha iyi bilirim, ben daha tecrübeliyim, beni aldatamazsın
Senli benli olmak;Çok samimi, içten, teklifsiz biçimde olmak
Sen sağ ben selâmet;İş sonuçlandı, artık yapacak bir şey kalmadı
Sere serpe;Rahatça, sıkışık olmayarak, serbestçe
Sermayeyi kediye yüklemek;Parasını yiyip bitirmek, işini ve parasını kaybetmek, batırmak
Ser verip sır vermemek;"Dürüst, güvenilir, ağzı sıkı olmak; ne kadar zorlanırsa zorlansın kimseye sırrını söylememek"
Ses çıkarmamak;İtiraz etmemek, hoş görerek karşı çıkmamak
Seyirci kalmak;Bir olay karşısında hiç tepki göstermemek, işe karışmamak
Sıcağı sıcağına;Hemen, olayın üzerinden fazla zaman geçmeden, unutulmadan
Sıcak kanlı;Sevimli, cana yakın, sempatik
Sıdkı sıyrılmak;Birinden soğumuş olmak, tiksinmek
Sıfırı tüketmek;Elinde avucunda bir şey kalmamak, malı ve parayı bitirmek
Sık boğaz etmek;Bir şey yaptırmak için birini zorlamak, baskı altına almak
Sıkı fıkı;Çok samimi, birbirine çok bağlı, içten ve teklifsiz
Sıkıntıya gelememek;Kendini dara düşürücü işlere dayanıklı olamamak, bu işleri yapma yeteneği bulunmamak
Sırra kadem basmak;Bir kimse ortalıktan yok olmak
Sırım gibi;İnce yapılı olmasına mukabil güçlü, dayanıklı
Sırtından geçinmek;Asalak yaşamak, birinin kesesinden sağlamak
Sinek avlamak;Satış yapamamak, iş ve müşteri olmadığından boş oturmak, iş yapamaz olmak
Sinekten yağ çıkarmak;"Hemen her şeyden, olmayacak şeyden bile çıkar sağlamaya çalışmak; yarar ummak"
Sineye çekmek;Bir zarara, hoş olmayan bir duruma, bir kötü söz veya davranışa ister istemez katlanmak
Sinirleri alt üst olmak;"Haddinden fazla sinirlenmek; ne yapacağını şaşırmak, bilememek"
Sinirleri yatışmak;Öfkesi veya kızgınlığı geçmek, sakinleşmek
Sinirleri gergin olmak;En ufak bir olay çıktığı anda tepki gösterecek kadar sinirleri bozuk olmak
Sipsivri kalmak;Tek başına, çaresiz ortada kalmak
Sivri akıllı;Kimsenin aklını beğenmeyen, düşünceleri kimseninkine benzemeyen, acayip fikirleri olan
Soğuk almak;Üşüyüp hastalanmak
Soğuk kanlı;kolayca kızmayan, heyecana kapılmayan, telaş etmeyen
Soğuk nevale;Sevimsiz, söz ve davranışları sıcak olmayan, insanlardan uzak duran kimse
Solda sıfır (kalmak);Hiçbir değeri ve önemi yok
Soluk aldırmamak;Çok sıkı çalıştırmak, dinlenmesine fırsat vermemek
Son kozunu oynamak;Elindeki son imkanı kullanmak, son çareye başvurmak
Sonradan görme;Sonradan zenginleşerek gösteriş, kibarlık, övünme gibi davranışlarda bulunan
Soyup soğana çevirmek;Her şeyini, varını yoğunu elinden almak
Söz altında kalmamak;Bir kimsenin kendisini inciten sözüne benzer şekilde cevap vermek
Söz birliği etmek;Bir olayla ilgili olarak aynı şeyleri söylemek üzere anlaşmak, aynı görüşte olmak
Sözde kalmak;Yapılması kararlaştırılmış bir iş gerçekleşmemek
Söz geçirmek;Dediğini yaptırmak
Söz götürmez;Gerçekliği, doğruluğu kesin ve açık olan
Söz (laf) işitmek;Paylanmak, azarlanmak, biri kendisine darılmak
Söz kaldırmamak;Onu inciten, onuruna dokunan söze dayanamayıp karşılık verir olmak
Söz sahibi olmak;Herhangi bir konuda konuşmaya yetkisi bulunmak
Sözü ağzında bırakmak;Söylemekte olduğu şeyi bitirmesine fırsat vermemek, engel olmak
Sözü bağlamak;Konuştuklarını bir sonuca vardırmak, konuşmayı sonuçlandırmak
Sözüne gelmek;En sonunda karşı çıktığı kimsenin fikrini kabul etmek
Sözünü esirgememek;Ne düşünüyorsa söylemek, kimseden çekinmemek, karşısındakini kıracağım diye kaygılanmamak
Sözünün eri olmak;Verdiği sözü ne pahasına olursa olsun yerine getiren bir kişi olmak
Sözünü yabana atmamak;Bir kimsenin söylediklerine önem vermek
Sudan ucuz;Çok ucuz, adeta bedava gibi
Su gibi akmak;Zamanın çok hızlı geçip gitmesi
Su gibi bilmek;Çok iyi, yanlışsız bilmek veya okumak
Su gibi ezberlemek;Çok iyi, yanlışsız ve takılmadan söyleyebilecek ölçüde ezberlemek
Su götürmez;Kesin, başka bir yoruma açık olmayan
Sululuk etmek;Cıvıklık etmek, taşkın hareketlerde bulunmak, ciddi davranmamak
Surat bir karış;üzüntülü ve somurtkan
Suratını ekşitmek;Hoşnutsuzluğunu yüz ifadesiyle belli etmek
Suya götürüp susuz getirmek;Birinden çok kurnaz olmak, onu aldatabilecek kadar akıllı ve kabiliyetli olmak
Suya sabuna dokunmamak;Sakıncalı konulardan uzak durmak, davranışlarıyla birilerini incitmeyecek yol tutmak
Suyu bulandırmak;İyi, olumlu, yolunda giden bir işi art niyetle karıştırmak
Suyu kaynamak;İş başından uzaklaştırılması zamanı yakın olmak
Suyunca gitmek;Bir kimseyi öfkelendirmeyecek biçimde hareket edip davranışlarını onun isteğine, eğilimlerine uydurmak
Suyunu çekmek;Bir şeye özellikle de para harcanıp tükenmek
Suyunun suyu;Çok uzaktan ilgisi bulunan şey
Su yüzü görmemiş;Hiç yıkanmamış, çok kirli
Su yüzüne çıkmak;Belli olmak, aydınlanmak
Süklüm püklüm;Korkup çekinerek, ezilip büzülerek, utanıp sıkılarak
Sünger çekmek;Unutmak, silmek, hiçbir şey olmamış saymak
Sürüden ayrılmak;Herkesin tuttuğu yolu bırakıp ayrı bir yol takip etmek
Süt dökmüş kedi gibi;Bir kabahat işleyip de bu kabahatinden dolayı utanan, korkan, çekinen kimsenin durumunu
Süt kuzusu;Çok küçük bebek, yavru, korunması gereken küçük çocuk
Süt liman olmak;Dingin, gürültüsüz, sakin olmak
Şad olmak;Sevinmek, mutlu olmak
Şaka götürmemek;Bir iş ya da durum dikkatsizliğe, önemsenmemeye gelmemek
Şakası yok;Tehlikeli
Şamar oğlanı;Herkesin hıncını aldığı, dövdüğü, çattığı, söylendiği kimse
Şamata koparmak;Gürültü, patırtı yapmak
Şapa oturmak;Güç bir duruma düşmek, çıkmaza girmek
Şeşi beş görmek;Yanlış görmek, görüşünde aldanmak
Şeyhin kerameti kendinden menkul;Çok büyük işler yaptığını belirtiyor ama bunu doğrulayacak ne kanıt ne de kimse var ortalıkta
Şeytana uymak;doğru yoldan ayrılmak
Şeytan dürtmek;Durup dururken uygunsuz, kötü bir davranışta bulunmak
Şeytan görsün yüzünü;Onunla hiç görüşmek, bir arada bulunmak istememek
