Deyimler;Türkçe Anlamı
Caka satmak;Çalım satmak, gösteriş yapmak
Can atmak;Çok istemek, çok arzulamak
Can damarı;Bir şeyin en önemli noktası, en mühim unsuru
Can evinden vurmak;En etkileyici, en can alıcı yönden saldırmak
Can kulağıyla dinlemek;Kendini vererek, büyük bir dikkatle dinlemek
Can pazarı;Herkesin kendi canının kaygısına düştüğü ve kendi canını kurtarmaya çalıştığı tehlikeli bir durum, yer
Cana can katmak;"İnsanda yaşama sevincini artırmak; insana neşe, heves ve iç gücü vermek"
Canı çıkmak;Çok yorulmak
Canına okumak;Bir kimseye büyük bir zarar vermek, kötülük etmek
Canına tak demek;Sabrı kalmamak, bir sıkıntıya dayanamaz duruma gelmek
Canını dişine takmak;Büyük sıkıntıları, tehlikeleri göze alarak bir işi başarmaya çalışmak
Canı tatlı;Acıya, üzüntüye ve sıkıntıya katlanmayan
Canı tez;Sabırsız, beklemeye tahammülü olmayan
Cebi delik;Parasız, cebinde para tutmasını bilmeyen
Ciğeri beş para etmemek;Değersiz, kendisine güvenilmez, korkak, aşağılık
Ciğerimin köşesi;Çok sevdiğim
Ciğerini okumak;Karşısındakinin gizli düşüncelerini bilmek, aklından geçenleri anlamak
Cin fikirli;Zeki, çok kurnaz, her zaman kendi çıkarını kollayan, çok anlayışlı
Cümbür cemaat;Topluca, hep birden
Çakı gibi;Canlı ve atik, çevik
Çam devirmek;Farkında olmadan karşısındakini kıracak ya da kötü bir sonuca yol açacak söz söylemek, davranışta bulunmak
Çanak tutmak;Söz ve davranışlarıyla kavgaya, kargaşaya yol açmak
Çantada keklik;Ele geçirilmesi o kadar kesin ki elde edilmiş sayılır
Çar çur etmek;Gereksiz, lüzumsuz yere harcayıp tüketmek
Çarşaf gibi;Dalgasız, dümdüz ve durgun
Çat kapı;Aniden, beklenmedik bir anda
Çekip çevirmek;Yönetmek, düzene sokmak, hâle yola koymak, çalışmasını sağlamak
Çene çalmak;Gevezelik ederek, çok konuşarak vakit geçirmek
Çene yarıştırmak;Karşılıklı gevezelik etmek, boş konuşmak
Çetin ceviz;Yola getirilmesi, yenilmesi zor rakip
Çığırından çıkmak;Yoldan sapmak, doğru ve uygun gidişten ayrılmak, artık düzelemez hâle gelmek
Çıngar çıkarmak;Gürültü patırtı, karışıklık ve kavga çıkarmak
Çıt çıkarmamak;Çok sessiz olmak, hiç ses çıkarmamak, gürültü yapmamak
Çiçeği burnunda;Çok taze, acemi
Çileden çıkmak;Çok öfkelenmek, olan bitenler karşısında dayanıklılığı kalmayıp taşkınlık göstermek
Çorap söküğü gibi gitmek;Başlayan bir işin birbirine bağlı diğer bölümlerinin kolaylıkla halledilmesi
Çorbada tuzu bulunmak;Yapılan bir iş ya da hizmette az da olsa çabası, emeği bulunmak
Çürük tahtaya basmak;Tedbirsiz hareket edip, kötü sonuçlanacak bir işe girişmek
Dağ devirmek;Çok zor görünen işleri başarmak
Dağdan gelip bağdakini kovmak;Daha sonradan geldiği bir yere ya da karıştığı bir işte eskiden beri bulunan bir kişinin yerini almaya çalışmak
Dalavere çevirmek;Yalan, dolan ve hile ile kötü bir iş yapmak
Daldan dala konmak;Çok sık, düşünce ya da konu değiştirmek
Dalına basmak;Hiç hoşlanmadığı şeyleri yaparak birisini öfkelendirmek
Dallanıp budaklanmak;Genişleyip yayılmak, gittikçe büyüyerek karışık bir durum almak
Damdan düşer gibi;Aniden, yersiz olarak
